bath,balcony,price,total_sqft_int,bhk,price_per_sqft
2.0,1.0,70.0,1200.0,3.0,5833.333333333333
3.0,3.0,149.0,1350.0,2.0,11037.037037037036
3.0,2.0,150.0,1597.0,4.0,9392.61114589856
2.0,3.0,44.0,1125.0,2.0,3911.1111111111113
2.0,2.0,40.0,1200.0,2.0,3333.3333333333335
2.0,2.0,43.0,900.0,2.0,4777.777777777777
2.0,1.0,58.0,2100.0,4.0,2761.904761904762
2.0,2.0,40.0,840.0,2.0,4761.9047619047615
3.0,1.0,71.0,1120.0,3.0,6339.285714285715
1.0,1.0,27.0,2400.0,1.0,1125.0
1.0,1.0,35.0,1330.0,3.0,2631.5789473684213
1.0,1.0,25.5,1140.0,3.0,2236.842105263158
1.0,0.0,28.0,1070.0,3.0,2616.822429906542
1.0,0.0,19.8,1179.0,2.0,1679.3893129770993
1.0,0.0,28.0,1556.0,2.0,1799.4858611825193
1.0,1.0,25.25,1519.0,2.0,1662.277814351547
2.0,0.0,480.0,712.0,2.0,67415.73033707865
4.0,2.0,150.0,1140.0,3.0,13157.894736842105
3.0,1.0,90.0,1600.0,2.0,5625.0
2.0,1.0,67.0,1200.0,2.0,5583.333333333333
3.0,2.0,125.0,3075.0,2.0,4065.040650406504
4.0,2.0,125.0,1200.0,3.0,10416.666666666666
4.0,1.0,428.0,1798.0,3.0,23804.226918798664
3.0,2.0,60.0,800.0,2.0,7500.0
2.0,2.0,148.0,1116.0,3.0,13261.648745519713
3.0,1.5843757375501535,115.0,1525.0,3.0,7540.983606557377
2.0,3.0,110.0,1100.0,2.0,10000.0
2.0,2.0,65.5,1255.0,3.0,5219.123505976096
3.0,2.0,210.0,1140.0,3.0,18421.052631578947
3.0,2.0,53.0,800.0,2.0,6625.0
2.0,2.0,45.0,800.0,2.0,5625.0
3.0,1.5843757375501535,157.0,1200.0,3.0,13083.333333333334
2.0,0.0,180.0,1151.0,3.0,15638.575152041703
3.0,2.0,210.0,1296.0,3.0,16203.703703703704
2.0,1.5843757375501535,86.0,1200.0,3.0,7166.666666666667
2.0,2.0,85.0,1340.0,2.0,6343.2835820895525
3.0,3.0,175.0,1450.0,2.0,12068.965517241379
2.0,1.0,56.0,2050.0,4.0,2731.7073170731705
