area_type,availability,location,bath,balcony,price,total_sqft_int,bhk,price_per_sqft
Super built-up  Area,Ready To Move, Devarabeesana Halli,2.0,1.0,70.0,1200.0,3.0,5833.333333333333
Built-up  Area,Ready To Move, Devarabeesana Halli,3.0,3.0,149.0,1350.0,2.0,11037.037037037036
Super built-up  Area,Ready To Move, Devarabeesana Halli,3.0,2.0,150.0,1597.0,4.0,9392.61114589856
Super built-up  Area,18-May, Devarachikkanahalli,2.0,3.0,44.0,1125.0,2.0,3911.1111111111113
Super built-up  Area,Ready To Move, Devarachikkanahalli,2.0,2.0,40.0,1200.0,2.0,3333.3333333333335
Super built-up  Area,Ready To Move, Devarachikkanahalli,2.0,2.0,43.0,900.0,2.0,4777.777777777777
Super built-up  Area,Ready To Move, Devarachikkanahalli,2.0,1.0,58.0,2100.0,4.0,2761.904761904762
Super built-up  Area,Ready To Move, Devarachikkanahalli,2.0,2.0,40.0,840.0,2.0,4761.9047619047615
Super built-up  Area,Ready To Move, Devarachikkanahalli,3.0,1.0,71.0,1120.0,3.0,6339.285714285715
Built-up  Area,Ready To Move, Electronic City,1.0,1.0,27.0,2400.0,1.0,1125.0
Super built-up  Area,Ready To Move, Mysore Highway,1.0,1.0,35.0,1330.0,3.0,2631.5789473684213
Super built-up  Area,Ready To Move, Mysore Highway,1.0,1.0,25.5,1140.0,3.0,2236.842105263158
Super built-up  Area,20-Aug, Rachenahalli,1.0,0.0,28.0,1070.0,3.0,2616.822429906542
Super built-up  Area,18-May, Rachenahalli,1.0,0.0,19.8,1179.0,2.0,1679.3893129770993
Super built-up  Area,Ready To Move, Thanisandra,1.0,0.0,28.0,1556.0,2.0,1799.4858611825193
Super built-up  Area,21-Nov, Thanisandra,1.0,1.0,25.25,1519.0,2.0,1662.277814351547
Plot  Area,Ready To Move, south,2.0,0.0,480.0,712.0,2.0,67415.73033707865
Built-up  Area,Ready To Move,1st Block HBR Layout,4.0,2.0,150.0,1140.0,3.0,13157.894736842105
Plot  Area,Ready To Move,1st Block HRBR Layout,3.0,1.0,90.0,1600.0,2.0,5625.0
